date;title
04 Jan 2025;World Braille Day (A/RES/73/161)
24 Jan 2025;International Day of Education (A/RES/73/25)
26 Jan 2025;International Day of Clean Energy (A/RES/77/327)
27 Jan 2025;International Day of Commemoration in Memory of the Victims of the Holocaust (A/RES/60/7)
01 Feb 2025;World Interfaith Harmony Week, 1-7 February (A/RES/65/5)
02 Feb 2025;World Wetlands Day (A/RES/75/317)
04 Feb 2025;International Day of Human Fraternity (A/RES/75/200)
06 Feb 2025;International Day of Zero Tolerance to Female Genital Mutilation (A/RES/67/146)
10 Feb 2025;World Pulses Day (A/RES/73/251)
10 Feb 2025;International Day of the Arabian Leopard (A/RES/77/295)
11 Feb 2025;International Day of Women and Girls in Science (A/RES/70/212)
12 Feb 2025;International Day for the Prevention of Violent Extremism as and when Conducive to Terrorism (A/RES/77/243)
13 Feb 2025;World Radio Day (A/RES/67/124)
17 Feb 2025;Global Tourism Resilience Day (A/RES/77/269)
20 Feb 2025;World Day of Social Justice (A/RES/62/10)
21 Feb 2025;International Mother Language Day (A/RES/56/262)
01 Mar 2025;Zero Discrimination Day [UNAIDS]
01 Mar 2025;World Seagrass Day (A/RES/76/265)
03 Mar 2025;World Wildlife Day (A/RES/68/205)
05 Mar 2025;International Day for Disarmament and Non-Proliferation Awareness (A/RES/77/51)
08 Mar 2025;International Womens Day
10 Mar 2025;International Day of Women Judges (A/RES/75/274)
15 Mar 2025;International Day to Combat Islamophobia (A/RES/76/254)
20 Mar 2025;International Day of Happiness (A/RES/66/281)
20 Mar 2025;French Language Day
21 Mar 2025;Week of Solidarity with the Peoples Struggling against Racism and Racial Discrimination, 21-27 March (A/RES/34/24)
21 Mar 2025;International Day for the Elimination of Racial Discrimination (A/RES/2142 (XXI))
21 Mar 2025;World Poetry Day [UNESCO] (30 C/Resolution 29)
21 Mar 2025;International Day of Nowruz (A/RES/64/253)
21 Mar 2025;World Down Syndrome Day (A/RES/66/149)
22 Mar 2025;World Water Day (A/RES/47/193)
23 Mar 2025;World Meteorological Day [WMO] (WMO/EC-XII/Res.6)
24 Mar 2025;World Tuberculosis Day [WHO]
24 Mar 2025;International Day for the Right to the Truth concerning Gross Human Rights Violations and for the Dignity of Victims (A/RES/65/196)
25 Mar 2025;International Day of Remembrance of the Victims of Slavery and the Transatlantic Slave Trade (A/RES/62/122)
25 Mar 2025;International Day of Solidarity with Detained and Missing Staff Members (A/RES/49/59)
30 Mar 2025;International Day of Zero Waste (A/RES/77/161)
02 Apr 2025;World Autism Awareness Day (A/RES/62/139)
04 Apr 2025;International Day for Mine Awareness and Assistance in Mine Action (A/RES/60/97)
05 Apr 2025;International Day of Conscience (A/RES/73/329)
06 Apr 2025;International Day of Sport for Development and Peace (A/RES/67/296)
07 Apr 2025;International Day of Reflection on the 1994 Genocide against the Tutsi in Rwanda (A/RES/58/234)
07 Apr 2025;World Health Day [WHO] (WHA/A.2/Res.35)
12 Apr 2025;International Day of Human Space Flight (A/RES/65/271)
14 Apr 2025;World Chagas Disease Day [WHO]
20 Apr 2025;Chinese Language Day
21 Apr 2025;World Creativity and Innovation Day (A/RES/71/284)
22 Apr 2025;International Mother Earth Day (A/RES/63/278)
23 Apr 2025;World Book and Copyright Day [UNESCO] (UNESCO 28 C/Resolution 3.18)
23 Apr 2025;English Language Day
23 Apr 2025;Spanish Language Day
24 Apr 2025;International Girls in ICT Day [ITU]
24 Apr 2025;World Immunization Week, 24-30 April [WHO]
24 Apr 2025;International Day of Multilateralism and Diplomacy for Peace (A/RES/73/127)
25 Apr 2025;World Malaria Day [WHO]
25 Apr 2025;International Delegate’s Day (A/RES/73/286)
26 Apr 2025;International Chernobyl Disaster Remembrance Day (A/RES/71/125)
26 Apr 2025;World Intellectual Property Day [WIPO]
28 Apr 2025;World Day for Safety and Health at Work
30 Apr 2025;International Jazz Day (UNESCO 36 C/Resolution 39)
02 May 2025;World Tuna Day (A/RES/71/124)
03 May 2025;World Press Freedom Day (UNESCO 26 C/Resolution 4.3)
05 May 2025;World Portuguese Language Day [UNESCO]
08 May 2025;Time of Remembrance and Reconciliation for Those Who Lost Their Lives During the Second World War (A/RES/59/26)
10 May 2025;International Day of Argania (A/RES/75/262)
11 May 2025;World Migratory Bird Day [UNEP]
12 May 2025;International Day of Plant Health [FAO] (A/RES/76/256)
15 May 2025;International Day of Families (A/RES/47/237)
16 May 2025;International Day of Living Together in Peace (A/RES/72/130)
16 May 2025;International Day of Light [UNESCO] (39 C/Resolution 16)
17 May 2025;World Telecommunication and Information Society Day (A/RES/60/252)
19 May 2025;World Fair Play Day (A/RES/78/310)
15 May 2025;UN Global Road Safety Week (biennial) [WHO]
20 May 2025;World Bee Day (A/RES/72/211)
21 May 2025;International Tea Day (A/RES/74/241)
21 May 2025;World Day for Cultural Diversity for Dialogue and Development (A/RES/57/249)
22 May 2025;International Day for Biological Diversity (A/RES/55/201)
23 May 2025;International Day to End Obstetric Fistula (A/RES/67/147)
23 May 2025;Vesak, the Day of the Full Moon (A/RES/54/115)
24 May 2025;International Day of the Markhor (A/RES/78/278)
25 May 2025;World Football Day (A/RES/78/281)
25 May 2025;Week of Solidarity with the Peoples of Non-Self-Governing Territories, 25-31 May (A/RES/54/91)
29 May 2025;International Day of UN Peacekeepers (A/RES/57/129)
30 May 2025;International Day of Potato (A/RES/78/123)
31 May 2025;World No-Tobacco Day [WHO] (Resolution 42.19)
01 Jun 2025; Global Day of Parents (A/RES/66/292)
03 Jun 2025; World Bicycle Day (A/RES/72/272)
04 Jun 2025; International Day of Innocent Children Victims of Aggression (A/RES/ES-7/8)
05 Jun 2025; World Environment Day (A/RES/2994 (XXVII))
05 Jun 2025; International Day for the Fight against Illegal, Unreported and Unregulated Fishing (A/RES/72/72)
06 Jun 2025; Russian Language Day
07 Jun 2025; World Food Safety Day (A/RES/73/250)
08 Jun 2025; World Oceans Day (A/RES/63/111)
10 Jun 2025; International Day for Dialogue among Civilizations (A/RES/78/286)
11 Jun 2025; International Day of Play (A/RES/78/268)
12 Jun 2025; World Day Against Child Labour
13 Jun 2025; International Albinism Awareness Day (A/RES/69/170)
14 Jun 2025; World Blood Donor Day [WHO] (WHA Resolution 58.13)
15 Jun 2025; World Elder Abuse Awareness Day (A/RES/66/127)
16 Jun 2025; International Day of Family Remittances (A/RES/72/281)
17 Jun 2025; World Day to Combat Desertification and Drought (A/RES/49/115)
18 Jun 2025; Sustainable Gastronomy Day (A/RES/71/246)
18 Jun 2025; International Day for Countering Hate Speech (A/RES/75/309)
19 Jun 2025; International Day for the Elimination of Sexual Violence in Conflict (A/RES/69/293)
20 Jun 2025; World Refugee Day (A/RES/55/76)
21 Jun 2025; International Day of Yoga (A/RES/69/131)
21 Jun 2025; International Day of the Celebration of the Solstice (A/RES/73/300)
23 Jun 2025; United Nations Public Service Day (A/RES/57/277)
23 Jun 2025; International Widows Day (A/RES/65/189)
24 Jun 2025; International Day of Women in Diplomacy (A/RES/76/269)
25 Jun 2025; Day of the Seafarer [IMO] (STCW/CONF.2/DC/4)
26 Jun 2025; International Day against Drug Abuse and Illicit Trafficking (A/RES/42/112)
